Steve Stricker,42,69.51
Joe Durant,46,69.81
Steve Elkington,30,69.94
Kevin Sutherland,37,70.1
David Toms,35,69.64
Jim Furyk,33,69.28
Phil Mickelson,31,69.16
Chris DiMarco,33,69.7
Tom Pernice jr,51,70.43
Stephen Ames,39,70.02
J.P. Hayes,45,70.52
Justin Leonard,30,69.91
Woody Austin,34,70.46
Brett Quigley,32,70.14
Vijay Singh,40,69.11
Bob Estes,35,69.55
Jerry Kelly,43,70.01
Lee Janzen,27,70.4
Davis Love III,37,69.03
Kenny Perry,41,69.6
Tim Herron,33,70.31
Billy Mayfair,35,70.01
Scott Verplank,37,69.48
Rocco Mediate,39,69.97
Jeff Maggert,28,70.42
Skip Kendall,37,70.4
Omar Uresti,38,70.81
Stuart Appleby,29,70.32
John Daly,35,70.7
Paul Goydos,39,70.47
Steve Lowery,40,70.14
Jeff Gove,35,70.74
Mark Calcavecchia,37,70.15
Brad Faxon,35,70.33
Greg Kraft,36,70.61
Corey Pavin,32,69.82
Michael Allen,50,70.64
Fred Couples,33,69.71
Glen Day,36,70.37
Tommy Armour III,48,70.86
Kirk Triplett,39,70.0
Mark Brooks,31,70.45
Tom Lehman,42,69.75
Bob Tway,49,69.94
John Huston,41,70.0
Dudley Hart,33,70.15
Marco Dawson,36,70.66
Jim McGovern,27,70.92
Robert Gamez,35,70.16
Paul Claxton,42,71.08
Olin Browne,42,70.33
Billy Andrade,38,70.61
Dicky Pride,34,70.58
Fred Funk,46,69.64
Duffy Waldorf,30,70.33
Joey Sindelar,30,70.65
Jeff Brehaut,42,70.54
Tom Byrum,40,70.56
Jeff Sluman,44,69.67
Paul Azinger,41,69.96
John Cook,35,69.95
Steve Jones,40,70.41
Larry Mize,32,70.2
Mark O'Meara,39,69.93
Len Mattiace,35,70.63
Loren Roberts,39,69.82
Dan Forsman,45,70.03
Neal Lancaster,39,70.58
Andrew Magee,35,70.64
Bill Glasson,34,70.12
Jay Haas,48,70.04
Danny Briggs,43,71.05999999999999
Jim Carter,28,70.74
Scott Hoch,46,69.87
David Peoples,42,70.19
Nick Price,44,69.69
Russ Cochran,33,70.36
Jay Delsing,32,70.92
Steve Pate,30,70.27
Scott Simpson,40,70.16
David Frost,28,70.09
Tommy Tolles,30,70.39
Esteban Toledo,40,70.81
Gene Sauers,29,70.22
Grant Waite,36,70.26
Blaine McCallister,45,70.38
Guy Boros,30,71.02
Hal Sutton,43,70.18
Peter Jacobsen,41,70.44
Donnie Hammond,45,70.43
Jay Don Blake,33,70.12
Joel Edwards,40,70.09
Craig Stadler,38,70.37
Robin Freeman,35,71.1
Mike Hulbert,33,70.65
Willie Wood,36,70.80999999999999
Chris Perry,38,70.19
Ronnie Black,33,70.61
Ben Bates,37,70.92
Mark Wiebe,31,70.76
Mike Reid,26,70.78
Rick Fehr,30,70.12
Tom Purtzer,45,70.52
Scott Gump,29,70.78
Brad Fabel,36,70.66
Chip Beck,32,69.83
Payne Stewart,31,69.96
David Ogrin,40,70.54
D.A. Weibring,42,70.67
Larry Rinker,35,71.0
Clarence Rose,39,70.88
Tom Kite,32,69.8
Fuzzy Zoeller,43,70.15
Lanny Wadkins,39,70.43
Gary Hallberg,33,70.71
Don Pooley,46,70.25
Dave Barr,36,70.37
David Edwards,35,70.23
Bobby Wadkins,36,70.6
Curtis Strange,27,70.39
Bob Gilder,41,70.95
Lennie Clements,37,70.24
John Adams,34,70.54
Wayne Levi,37,70.63
Tom Watson,31,69.95
Ken Green,30,70.25
Tim Simpson,34,70.32
Howard Twitty,43,70.74
Ed Fiori,38,70.69
Gil Morgan,47,70.03
Mark McCumber,43,69.86
Mike Sullivan,31,71.11
Curt Byrum,35,71.1
Ben Crenshaw,36,70.13
John Mahaffey,37,70.44
Bruce Lietzke,43,69.95
Doug Tewell,43,70.41
Morris Hatalsky,42,71.05
Mike Donald,34,71.11
Buddy Gardner,36,70.62
Paul Stankowski,41,69.79
Charles Howell III,22,69.59
Pat Perez,34,70.04
Chris Riley,29,69.9
Bo Van Pelt,35,70.07
Jonathan Byrd,28,69.97
Briny Baird,31,69.91
Greg Chalmers,36,70.05
Ben Crane,29,69.89
Tim Clark,34,69.88
Chris Couch,37,70.36
Ernie Els,35,69.69
K.J. Choi,40,70.39
Ryuji Imada,34,70.43
John Rollins,27,70.22
Chad Campbell,29,69.91
J.J. Henry,35,70.48
Brian Gay,30,70.1
Robert Allenby,32,70.11
Scott McCarron,36,69.57
Charles Warren,35,70.53
Heath Slocum,33,70.13
Stewart Cink,27,70.0
Shaun Micheel,33,70.56
Jay Williamson,43,70.62
Garrett Willis,36,70.36
Tim Petrovic,37,70.21
D.A. Points,34,70.79
Geoff Ogilvy,27,70.51
Chris Tidland,37,70.39
Joe Ogilvie,29,70.61
Cliff Kresge,41,70.84
Cameron Beckman,31,70.02
Rory Sabbatini,31,70.49
Rod Pampling,34,70.19
Brenden Pappas,33,70.6
Mathew Goggin,34,70.73
Sergio Garcia,21,69.6
David Duval,30,69.58
Steve Flesch,33,69.64
Ted Purdy,31,70.53
Mike Weir,33,69.89
Craig Bowden,41,70.75
Vance Veazey,42,70.52
Kevin Johnson,34,71.42
Tiger Woods,25,68.17
Harrison Frazar,38,70.17
Patrick Sheehan,34,70.48
Bob Heintz,39,70.62
Rich Beem,32,70.56
Jonathan Kaye,30,70.46
Bart Bryant,43,70.24
Jason Gore,31,69.99
Kent Jones,36,70.64
Darron Stiles,32,70.67
Brian Bateman,31,70.88
Rick Price,39,71.61999999999999
Shane Bertsch,38,70.56
John Riegger,39,70.63
Craig Kanada,40,71.05
Frank Lickliter II,32,70.14
Todd Demsey,31,71.11999999999999
Brad Elder,25,71.11
Jesper Parnevik,36,70.02
Tom Scherrer,29,70.81
Mark Hensby,31,70.42999999999999
Craig Barlow,31,70.74
Tripp Isenhour,34,70.96
Paul Gow,33,71.0
Brent Geiberger,33,70.51
Bernhard Langer,44,69.8
Chris Smith,28,70.25
Robert Damron,26,70.89
Mike Sposa,32,70.62
Doug Barron,33,70.94
J.L. Lewis,42,70.63
Hunter Haas,34,70.33999999999999
Glen Hnatiuk,37,70.2
Franklin Langham,32,70.56
Jeff Hart,41,71.39
Bradley Hughes,34,71.28
Dennis Paulson,37,71.01
John Elliott,36,71.46
Craig Perks,34,71.13
Deane Pappas,34,70.97
Bob Burns,34,70.68
Pat Bates,33,70.37
Mike Heinen,36,70.8
Craig Parry,35,70.71
David Morland IV,34,71.41999999999999
Carl Paulson,30,70.66
Brian Henninger,35,70.92
John Maginnes,31,70.95
Michael Clark II,32,71.26
Dave Stockton jr,30,70.89
Phil Tataurangi,31,70.58
Matt Peterson,34,70.77
Brandel Chamblee,36,70.7
Lee Porter,30,71.08
Pete Jordan,31,70.63
Richard Zokol,29,70.93
Scott Dunlap,37,70.52
Fulton Allem,35,71.11
Ted Tryba,34,71.02
Keith Clearwater,33,70.45
Sean Murphy,30,70.75
Rocky Walcher,36,71.94999999999999
Mike Springer,26,70.71
Bob Friend,35,71.4
Barry Cheesman,38,70.94
Kelly Gibson,32,71.06
Trevor Dodds,38,70.8
P.H. Horgan III,38,71.21
Emlyn Aubrey,27,70.97
Ryan Howison,32,71.78
Nolan Henke,28,70.84
Phil Blackmar,40,71.02
Jim Gallagher jr,31,70.44
Clark Dennis,27,70.85
Jeff Gallagher,44,70.8
Tim Loustalot,29,71.47999999999999
Keith Fergus,26,70.75
Bruce Fleisher,49,70.48
R.W. Eaks,45,70.91999999999999
Mike Standly,28,71.06
Sonny Skinner,41,71.11999999999999
John Morse,38,71.11
Brian Kamm,32,71.14
Joe Daley,45,70.89
Billy Ray Brown,26,70.93
Mark Wurtz,39,71.72999999999999
Andy Bean,33,70.56
Greg Norman,39,69.33
Brian Claar,32,70.9
Brad Bryant,40,70.72
Larry Nelson,49,70.42
Ed Dougherty,40,71.29
Larry Silveira,24,71.37
Dan Pohl,36,70.15
Bob Lohr,28,70.85
Wayne Grady,28,71.12
Robert Wrenn,32,70.79
John Inman,27,70.98
Jim Thorpe,36,71.28
Tony Sills,31,70.73
Bill Britton,36,70.68
Mike Smith,41,70.92
Don Reese,47,71.83
Hale Irwin,49,70.49
Dave Rummells,30,70.53
Dick Mast,36,71.44
Stan Utley,31,71.25999999999999
Tom Sieckmann,37,70.92
Billy Kratzert,41,70.83
Greg Twiggs,26,71.33
Roger Maltbie,34,70.84
Bobby Clampett,21,70.77
Lance Ten Broeck,33,70.99
Mark Lye,37,71.01
Jodie Mudd,26,71.11
Hubert Green,38,71.27
Dan Halldorson,39,71.34
Raymond Floyd,50,70.08
Lon Hinkle,43,71.09
Frank Conner,41,71.26
Leonard Thompson,44,71.2
Kenny Knox,35,70.58
Fran Quinn,36,71.42999999999999
Bill Sander,34,71.45
Greg Bruckner,36,71.61
Mark Hayes,37,71.61
Pat McGowan,35,70.9
Sam Randolph,23,71.82
Bob Eastwood,41,71.22
Andy North,30,71.65
Barry Jaeckel,40,71.52
J.C. Snead,49,70.93
George Burns,31,71.12
Gary Koch,34,70.94
Dave Eichelberger,39,71.58
Calvin Peete,39,70.33
Rex Caldwell,33,71.34
Ron Streck,34,71.04
Keoke Cotner,36,71.52
Steve Haskins,48,71.69999999999999
