Paul Stankowski,1969
Charles Howell III,1979
Pat Perez,1976
Chris Riley,1973
Bo Van Pelt,1975
Jonathan Byrd,1978
Briny Baird,1972
Greg Chalmers,1973
Ben Crane,1976
Tim Clark,1975
Chris Couch,1973
Ernie Els,1969
K.J. Choi,1970
Ryuji Imada,1976
John Rollins,1975
Chad Campbell,1974
J.J. Henry,1975
Brian Gay,1971
Robert Allenby,1971
Scott McCarron,1965
Charles Warren,1975
Heath Slocum,1974
Stewart Cink,1973
Shaun Micheel,1969
Jay Williamson,1967
Garrett Willis,1973
Tim Petrovic,1966
D.A. Points,1976
Geoff Ogilvy,1977
Chris Tidland,1972
Joe Ogilvie,1974
Cliff Kresge,1968
Cameron Beckman,1970
Rory Sabbatini,1976
Rod Pampling,1969
Brenden Pappas,1970
Mathew Goggin,1974
Sergio Garcia,1980
David Duval,1971
Steve Flesch,1967
Ted Purdy,1973
Mike Weir,1970
Craig Bowden,1968
Vance Veazey,1965
Kevin Johnson,1967
Tiger Woods,1975
Harrison Frazar,1971
Patrick Sheehan,1969
Bob Heintz,1970
Rich Beem,1970
Jonathan Kaye,1970
Bart Bryant,1962
Jason Gore,1974
Kent Jones,1967
Darron Stiles,1973
Brian Bateman,1973
Rick Price,1968
Shane Bertsch,1970
John Riegger,1963
Craig Kanada,1968
Frank Lickliter II,1969
Todd Demsey,1972
Brad Elder,1975
Jesper Parnevik,1965
Tom Scherrer,1970
Mark Hensby,1972
Craig Barlow,1972
Tripp Isenhour,1968
Paul Gow,1970
Brent Geiberger,1968
Bernhard Langer,1957
Chris Smith,1969
Robert Damron,1972
Mike Sposa,1969
Doug Barron,1969
J.L. Lewis,1960
Hunter Haas,1976
Glen Hnatiuk,1965
Franklin Langham,1968
Jeff Hart,1960
Bradley Hughes,1967
Dennis Paulson,1962
John Elliott,1963
Craig Perks,1967
Deane Pappas,1967
Bob Burns,1968
Pat Bates,1969
Mike Heinen,1967
Craig Parry,1966
David Morland IV,1969
Carl Paulson,1970
Brian Henninger,1962
John Maginnes,1968
Michael Clark II,1969
Dave Stockton jr,1968
Phil Tataurangi,1971
Matt Peterson,1967
Brandel Chamblee,1962
Lee Porter,1966
Pete Jordan,1964
Richard Zokol,1958
Scott Dunlap,1963
Fulton Allem,1957
Ted Tryba,1967
Keith Clearwater,1959
Sean Murphy,1965
Rocky Walcher,1961
Mike Springer,1965
Bob Friend,1963
Barry Cheesman,1959
Kelly Gibson,1964
Trevor Dodds,1959
P.H. Horgan III,1960
Emlyn Aubrey,1964
Ryan Howison,1966
Nolan Henke,1964
Phil Blackmar,1957
Jim Gallagher jr,1961
Clark Dennis,1966
Jeff Gallagher,1964
Tim Loustalot,1965
Keith Fergus,1954
Bruce Fleisher,1948
R.W. Eaks,1952
Mike Standly,1964
Sonny Skinner,1960
John Morse,1958
Brian Kamm,1961
Joe Daley,1960
Billy Ray Brown,1963
Mark Wurtz,1964
Andy Bean,1953
Greg Norman,1955
Brian Claar,1959
Brad Bryant,1954
Larry Nelson,1947
Ed Dougherty,1947
Larry Silveira,1965
Dan Pohl,1955
Bob Lohr,1960
Wayne Grady,1957
Robert Wrenn,1959
John Inman,1962
Jim Thorpe,1949
Tony Sills,1955
Bill Britton,1955
Mike Smith,1950
Don Reese,1953
Hale Irwin,1945
Dave Rummells,1958
Dick Mast,1951
Stan Utley,1962
Tom Sieckmann,1955
Billy Kratzert,1952
Greg Twiggs,1960
Roger Maltbie,1951
Bobby Clampett,1960
Lance Ten Broeck,1956
Mark Lye,1952
Jodie Mudd,1960
Hubert Green,1946
Dan Halldorson,1952
Raymond Floyd,1942
Lon Hinkle,1949
Frank Conner,1946
Leonard Thompson,1947
Kenny Knox,1956
Fran Quinn,1965
Bill Sander,1956
Greg Bruckner,1959
Mark Hayes,1949
Pat McGowan,1954
Sam Randolph,1964
Bob Eastwood,1946
Andy North,1950
Barry Jaeckel,1949
J.C. Snead,1940
George Burns,1949
Gary Koch,1952
Dave Eichelberger,1943
Calvin Peete,1943
Rex Caldwell,1950
Ron Streck,1954
Keoke Cotner,1971
Steve Haskins,1953
