Steve Stricker,1967
Joe Durant,1964
Steve Elkington,1962
Kevin Sutherland,1964
David Toms,1967
Jim Furyk,1970
Phil Mickelson,1970
Chris DiMarco,1968
Tom Pernice jr,1959
Stephen Ames,1964
J.P. Hayes,1965
Justin Leonard,1972
Woody Austin,1964
Brett Quigley,1969
Vijay Singh,1963
Bob Estes,1966
Jerry Kelly,1966
Lee Janzen,1964
Davis Love III,1964
Kenny Perry,1960
Tim Herron,1970
Billy Mayfair,1966
Scott Verplank,1964
Rocco Mediate,1962
Jeff Maggert,1964
Skip Kendall,1964
Omar Uresti,1968
Stuart Appleby,1971
John Daly,1966
Paul Goydos,1964
Steve Lowery,1960
Jeff Gove,1971
Mark Calcavecchia,1960
Brad Faxon,1961
Greg Kraft,1964
Corey Pavin,1959
Michael Allen,1959
Fred Couples,1959
Glen Day,1965
Tommy Armour III,1959
Kirk Triplett,1962
Mark Brooks,1961
Tom Lehman,1959
Bob Tway,1959
John Huston,1961
Dudley Hart,1968
Marco Dawson,1963
Jim McGovern,1965
Robert Gamez,1968
Paul Claxton,1968
Olin Browne,1959
Billy Andrade,1964
Dicky Pride,1969
Fred Funk,1956
Duffy Waldorf,1962
Joey Sindelar,1958
Jeff Brehaut,1963
Tom Byrum,1960
Jeff Sluman,1957
Paul Azinger,1960
John Cook,1957
Steve Jones,1958
Larry Mize,1958
Mark O'Meara,1957
Len Mattiace,1967
Loren Roberts,1955
Dan Forsman,1958
Neal Lancaster,1962
Andrew Magee,1962
Bill Glasson,1960
Jay Haas,1953
Danny Briggs,1960
Jim Carter,1961
Scott Hoch,1955
David Peoples,1960
Nick Price,1957
Russ Cochran,1958
Jay Delsing,1960
Steve Pate,1961
Scott Simpson,1955
David Frost,1959
Tommy Tolles,1966
Esteban Toledo,1962
Gene Sauers,1962
Grant Waite,1964
Blaine McCallister,1958
Guy Boros,1964
Hal Sutton,1958
Peter Jacobsen,1954
Donnie Hammond,1957
Jay Don Blake,1958
Joel Edwards,1961
Craig Stadler,1953
Robin Freeman,1959
Mike Hulbert,1958
Willie Wood,1960
Chris Perry,1961
Ronnie Black,1958
Ben Bates,1961
Mark Wiebe,1957
Mike Reid,1954
Rick Fehr,1962
Tom Purtzer,1951
Scott Gump,1965
Brad Fabel,1955
Chip Beck,1956
Payne Stewart,1957
David Ogrin,1957
D.A. Weibring,1953
Larry Rinker,1957
Clarence Rose,1957
Tom Kite,1949
Fuzzy Zoeller,1951
Lanny Wadkins,1949
Gary Hallberg,1958
Don Pooley,1951
Dave Barr,1952
David Edwards,1956
Bobby Wadkins,1951
Curtis Strange,1955
Bob Gilder,1950
Lennie Clements,1957
John Adams,1954
Wayne Levi,1952
Tom Watson,1949
Ken Green,1958
Tim Simpson,1956
Howard Twitty,1949
Ed Fiori,1953
Gil Morgan,1946
Mark McCumber,1951
Mike Sullivan,1955
Curt Byrum,1958
Ben Crenshaw,1952
John Mahaffey,1948
Bruce Lietzke,1951
Doug Tewell,1949
Morris Hatalsky,1951
Mike Donald,1955
Buddy Gardner,1955
